name;class;attribute;value1;attribute;value2
AS-JPN-HO;Node;Longitude;142.8231131;Latitude;43.10817375
AS-JPN-KY;Node;Longitude;131.0121061;Latitude;32.64705872
AS-JPN-OK;Node;Longitude;128.0255901;Latitude;26.5707754
AS-JPN-SH;Node;Longitude;133.5999443;Latitude;33.70458579
AS-JPN-TO;Node;Longitude;140.2917339;Latitude;38.02952254
AS-KAZ;Node;Longitude;66.923684;Latitude;48.019573
AS-KGZ;Node;Longitude;74.766098;Latitude;41.20438
AS-KHM;Node;Longitude;104.990963;Latitude;12.565679
AS-KOR;Node;Longitude;127.766922;Latitude;35.907757
AS-KWT;Node;Longitude;47.481766;Latitude;29.31166
AS-LAO;Node;Longitude;102.495496;Latitude;19.85627
AS-LBN;Node;Longitude;35.862285;Latitude;33.854721
AS-LKA;Node;Longitude;80.771797;Latitude;7.873054
AS-MMR;Node;Longitude;95.956223;Latitude;21.913965
AS-MNG;Node;Longitude;103.846656;Latitude;46.862496
AS-MYS;Node;Longitude;101.975766;Latitude;4.210484
AS-NPL;Node;Longitude;84.124008;Latitude;28.394857
AS-OMN;Node;Longitude;55.923255;Latitude;21.512583
AS-PAK;Node;Longitude;69.345116;Latitude;30.375321
AS-PHL;Node;Longitude;121.774017;Latitude;12.879721
AS-PRK;Node;Longitude;127.510093;Latitude;40.339852
AS-QAT;Node;Longitude;51.183884;Latitude;25.354826
AS-RUS-CE;Node;Longitude;37.63331884;Latitude;55.75002863
AS-RUS-FE;Node;Longitude;134.7530964;Latitude;64.61838728
AS-RUS-MV;Node;Longitude;46.54963528;Latitude;54.34836777
AS-RUS-NW;Node;Longitude;49.39030527;Latitude;63.56292883
AS-RUS-SI;Node;Longitude;93.19096894;Latitude;58.6818654
AS-RUS-SO;Node;Longitude;42.89688581;Latitude;45.22632294
AS-RUS-UR;Node;Longitude;61.92032702;Latitude;58.10940302
AS-SAU;Node;Longitude;45.079162;Latitude;23.885942
AS-SGP;Node;Longitude;103.819836;Latitude;1.352083
AS-SYR;Node;Longitude;38.996815;Latitude;34.802075
AS-THA;Node;Longitude;100.992541;Latitude;15.870032
AS-TJK;Node;Longitude;71.276093;Latitude;38.861034
AS-TKM;Node;Longitude;59.556278;Latitude;38.969719
AS-TLS;Node;Longitude;125.727539;Latitude;-8.874217
AS-TUR;Node;Longitude;35.243322;Latitude;38.963745
AS-TWN;Node;Longitude;120.960515;Latitude;23.69781
AS-UZB;Node;Longitude;64.585262;Latitude;41.377491
AS-VNM;Node;Longitude;108.277199;Latitude;14.058324
AS-YEM;Node;Longitude;48.516388;Latitude;15.552727
EU-ALB;Node;Longitude;20.168331;Latitude;41.153332
EU-ARM;Node;Longitude;45.038189;Latitude;40.069099
EU-AUT;Node;Longitude;14.550072;Latitude;47.516231
EU-AZE;Node;Longitude;47.576927;Latitude;40.143105
EU-BEL;Node;Longitude;4.469936;Latitude;50.503887
EU-BGR;Node;Longitude;25.48583;Latitude;42.733883
EU-BIH;Node;Longitude;17.679076;Latitude;43.915886
EU-BLR;Node;Longitude;27.953389;Latitude;53.709807
EU-CHE;Node;Longitude;8.227512;Latitude;46.818188
EU-CYP;Node;Longitude;33.429859;Latitude;35.126413
EU-CZE;Node;Longitude;15.472962;Latitude;49.817492
EU-DEU;Node;Longitude;10.451526;Latitude;51.165691
EU-DNK;Node;Longitude;9.501785;Latitude;56.26392
EU-ESP;Node;Longitude;-3.74922;Latitude;40.463667
EU-EST;Node;Longitude;25.013607;Latitude;58.595272
EU-FIN;Node;Longitude;25.748151;Latitude;61.92411
EU-FRA;Node;Longitude;2.213749;Latitude;46.227638
EU-GBR;Node;Longitude;-3.435973;Latitude;55.378051
EU-GEO;Node;Longitude;43.356892;Latitude;42.315407
EU-GRC;Node;Longitude;21.824312;Latitude;39.074208
EU-HRV;Node;Longitude;15.2;Latitude;45.1
EU-HUN;Node;Longitude;19.503304;Latitude;47.162494
EU-IRL;Node;Longitude;-8.24389;Latitude;53.41291
EU-ISL;Node;Longitude;-19.020835;Latitude;64.963051
EU-ITA;Node;Longitude;12.56738;Latitude;41.87194
EU-LTU;Node;Longitude;23.881275;Latitude;55.169438
EU-LUX;Node;Longitude;6.129583;Latitude;49.815273
EU-LVA;Node;Longitude;24.603189;Latitude;56.879635
EU-MDA;Node;Longitude;28.369885;Latitude;47.411631
EU-MKD;Node;Longitude;21.745275;Latitude;41.608635
EU-MLT;Node;Longitude;14.375416;Latitude;35.937496
EU-MNE;Node;Longitude;19.37439;Latitude;42.708678
EU-NLD;Node;Longitude;5.291266;Latitude;52.132633
EU-NOR;Node;Longitude;8.468946;Latitude;60.472024
EU-POL;Node;Longitude;19.145136;Latitude;51.919438
EU-PRT;Node;Longitude;-8.224454;Latitude;39.399872
EU-ROU;Node;Longitude;24.96676;Latitude;45.943161
EU-SRB;Node;Longitude;21.005859;Latitude;44.016521
EU-SVK;Node;Longitude;19.699024;Latitude;48.669026
EU-SVN;Node;Longitude;14.995463;Latitude;46.151241
EU-SWE;Node;Longitude;18.643501;Latitude;60.128161
EU-UKR;Node;Longitude;31.16558;Latitude;48.379433
NA-BLZ;Node;Longitude;-88.49765;Latitude;17.189877
NA-CAN-AB;Node;Longitude;-114.6876172;Latitude;54.8398688
NA-CAN-AR;Node;Longitude;-64.90343443;Latitude;46.00172349
NA-CAN-BC;Node;Longitude;-124.5339421;Latitude;54.76407594
NA-CAN-MB;Node;Longitude;-97.89535801;Latitude;54.78882814
NA-CAN-NL;Node;Longitude;-58.30540555;Latitude;52.57657855
NA-CAN-NO;Node;Longitude;-116.4505796;Latitude;62.32029395
NA-CAN-ON;Node;Longitude;-84.88239567;Latitude;49.7675388
NA-CAN-QC;Node;Longitude;-73.95122426;Latitude;49.86666986
